t,x1,x2
0,0,0
0.01,0,0.100690566
0.02,0.0009787494,0.19782381
0.03,0.0027712898,0.2557306
0.04,0.005498795,0.33791497
0.049999997,0.008517546,0.38654724
0.06,0.01288149,0.4209071
0.07,0.01603173,0.45526585
0.08,0.021480277,0.46216106
0.089999996,0.025922613,0.4523567
0.099999994,0.030915348,0.4274324
0.11,0.032680854,0.38365945
0.12,0.037029866,0.34473076
0.13,0.042469364,0.2862261
0.14,0.04410022,0.24539346
0.14999999,0.04679772,0.18346758
0.16,0.049017083,0.124975294
0.17,0.05069082,0.06395134
0.17999999,0.051289458,0.010000584
0.19,0.051340748,-0.042796362
0.19999999,0.051101,-0.09024278
0.21,0.050134826,-0.13335787
0.22,0.04824652,-0.16529311
0.22999999,0.046122547,-0.19643523
0.24,0.043890566,-0.21613026
0.25,0.042698592,-0.22795814
0.26,0.041823346,-0.23221219
0.26999998,0.035015643,-0.22924353
0.28,0.03381766,-0.21957953
0.29,0.031828105,-0.20453118
0.29999998,0.031210518,-0.18271677
0.31,0.030365976,-0.15756615
0.32,0.028890371,-0.13256268
0.32999998,0.027298102,-0.1019874
0.34,0.025856063,-0.07105272
0.35,0.024871891,-0.03966756
0.35999998,0.024320574,-0.009996806
0.37,0.024155429,0.01813998
0.38,0.024359623,0.043923575
0.39,0.024941364,0.066317774
0.39999998,0.02590477,0.08609456
0.41,0.027326355,0.09992829
0.42,0.028476255,0.11127166
0.42999998,0.029870048,0.11907775
0.44,0.030789219,0.12232206
0.45,0.03122169,0.121460676
0.45999998,0.031344797,0.11676323
0.47,0.031827014,0.10852617
0.48,0.032657813,0.098142184
0.48999998,0.033507973,0.086555965
0.5,0.034143217,0.07222509
0.51,0.035322726,0.05600212
0.52,0.036363278,0.040219825
0.53,0.03698183,0.02361854
0.53999996,0.037340175,0.0076484676
0.55,0.037443396,-0.0074862167
0.56,0.03730076,-0.021430517
0.57,0.03690791,-0.033787973
0.58,0.036279533,-0.04446196
0.59,0.03535797,-0.053151455
0.59999996,0.03462845,-0.058980744
0.61,0.034230333,-0.06304639
0.62,0.033658385,-0.06504624
0.63,0.032452237,-0.064926445
0.64,0.032149933,-0.06282945
0.65,0.03200315,-0.059058998
0.65999997,0.031671863,-0.054083273
0.66999996,0.031421438,-0.047673404
0.68,0.031350207,-0.03977446
0.69,0.031279657,-0.031224584
0.7,0.031180294,-0.022832194
0.71,0.031109745,-0.013880649
0.71999997,0.031064592,-0.0053677834
0.72999996,0.031048253,0.0029763763
0.74,0.031060562,0.010651364
0.75,0.031098463,0.017539816
0.76,0.031160079,0.023367295
0.77,0.031241462,0.028237706
0.78,0.03129224,0.031780463
0.78999996,0.031343795,0.034122285
0.79999995,0.031394754,0.035341296
0.81,0.03147323,0.035432816
0.82,0.031526577,0.03445884
0.83,0.031802658,0.032593608
0.84,0.032109782,0.0299279
0.84999996,0.03215977,0.026369294
0.85999995,0.032332104,0.022283131
0.87,0.03258898,0.017622707
0.88,0.032766666,0.013077711
0.89,0.032888513,0.008156466
0.9,0.032958817,0.003522447
0.90999997,0.032986116,-0.0010899686
0.91999996,0.032972965,-0.005291159
0.93,0.032918993,-0.00914875
0.94,0.032820176,-0.012419574
0.95,0.032674454,-0.015195567
0.96,0.032461226,-0.017269077
0.96999997,0.03220988,-0.018660136
0.97999996,0.032174874,-0.01942291
0.98999995,0.03212683,-0.019557135
1,0.03210046,-0.019099051
1.01,0.03209011,-0.018087827
1.02,0.031907756,-0.016672483
1.03,0.031768475,-0.014784581
1.04,0.03165762,-0.01258
1.05,0.031567674,-0.010044234
1.06,0.031498104,-0.007498981
1.0699999,0.03146699,-0.004801563
1.0799999,0.031460013,-0.0022148006
1.09,0.03145701,0.00032713063
1.1,0.03145776,0.0026712585
1.11,0.031462267,0.004802687
1.12,0.031470526,0.0066712457
1.13,0.031482723,0.008215025
1.14,0.031497553,0.009445261
1.15,0.031517297,0.010292482
1.16,0.03155311,0.01073189
1.17,0.03163072,0.010847226
1.18,0.03176186,0.010642417
1.1899999,0.032086372,0.010147464
1.1999999,0.032090273,0.009374964
1.2099999,0.032098625,0.008368232
1.22,0.03210563,0.0071211546
1.23,0.0321171,0.0057468005
1.24,0.032127913,0.004325923
1.25,0.032135535,0.0028448843
1.26,0.03214026,0.0013739195
1.27,0.032142367,-0.00004321383
1.28,0.032142047,-0.0013718773
1.29,0.032139298,-0.0025542527
1.3,0.032134045,-0.0036037706
1.31,0.032126144,-0.004491428
1.3199999,0.032115035,-0.0051824986
1.3299999,0.03210874,-0.0056709456
1.3399999,0.032103013,-0.0059651346
1.35,0.03209503,-0.0060624126
1.36,0.032091953,-0.005971104
1.37,0.032088604,-0.0057057566
1.38,0.032050777,-0.005290682
1.39,0.031964216,-0.0047357487
1.4,0.03190407,-0.0040576584
1.41,0.03186011,-0.0033013504
1.42,0.031827223,-0.002513945
1.43,0.031803425,-0.0016825442
1.4399999,0.031787332,-0.000851256
1.4499999,0.03177784,-0.000049312133
1.4599999,0.031774577,0.0007086888
1.4699999,0.03177727,0.0013750624
1.48,0.03178606,0.0019714767
1.49,0.03180134,0.0024812296
1.5,0.03182287,0.0028750815
1.51,0.03185281,0.003160971
1.52,0.031896062,0.0033390757
1.53,0.03196272,0.0034047242
1.54,0.032085963,0.0033624105
1.55,0.03208638,0.0032201603
1.56,0.03208781,0.0029939378
1.5699999,0.032090005,0.002690417
1.5799999,0.032091185,0.0023251884
1.5899999,0.032092426,0.0019056358
1.5999999,0.03209452,0.0014606806
1.61,0.032095965,0.0009950269
1.62,0.032096896,0.0005247133
1.63,0.032097343,0.000067749024
1.64,0.03209733,-0.00036910156
1.65,0.032096867,-0.00074915896
1.66,0.032095965,-0.0010910219
1.67,0.032094564,-0.0013804622
1.68,0.03209262,-0.0016107924
1.6899999,0.032091927,-0.001781987
1.6999999,0.032091,-0.0018868196
1.7099999,0.032089803,-0.0019292431
1.7199999,0.032088708,-0.0019118072
1.73,0.032088485,-0.0018380451
1.74,0.03208787,-0.001710826
1.75,0.0320873,-0.0015422365
1.76,0.03204922,-0.0013392841
1.77,0.03201971,-0.0011070428
1.78,0.03199861,-0.0008526283
1.79,0.031983897,-0.00058981596
1.8,0.031974345,-0.00032228522
1.81,0.031969395,-0.00006062578
1.8199999,0.031968664,0.00018761684
1.8299999,0.031972084,0.00041166335
1.8399999,0.031979777,0.0006090747
1.8499999,0.031992156,0.0007764434
1.86,0.03200997,0.0009118743
1.87,0.032035142,0.0010124756
1.88,0.032071378,0.0010767427
1.89,0.032086607,0.0011042836
1.9,0.03208688,0.0010972114
1.91,0.032087285,0.0010573325
1.92,0.03208846,0.0009875149
1.93,0.032088537,0.00089214556
1.9399999,0.032088626,0.0007763016
1.9499999,0.03208911,0.0006454631
1.9599999,0.032089483,0.0005004155
1.9699999,0.03208975,0.000349929
1.9799999,0.032089923,0.00019732921
1.99,0.032090005,0.000046551864
